time,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,pos_arm_flex_r,pos_arm_add_r,pos_arm_rot_r,pos_elbow_flex_r,pos_pro_sup_r,pos_wrist_flex_r,pos_wrist_dev_r,pos_arm_flex_l,pos_arm_add_l,pos_arm_rot_l,pos_elbow_flex_l,pos_pro_sup_l,pos_wrist_flex_l,pos_wrist_dev_l,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation,vel_arm_flex_r,vel_arm_add_r,vel_arm_rot_r,vel_elbow_flex_r,vel_pro_sup_r,vel_wrist_flex_r,vel_wrist_dev_r,vel_arm_flex_l,vel_arm_add_l,vel_arm_rot_l,vel_elbow_flex_l,vel_pro_sup_l,vel_wrist_flex_l,vel_wrist_dev_l,tau_pelvis_tilt,tau_pelvis_list,tau_pelvis_rotation,tau_pelvis_tx,tau_pelvis_ty,tau_pelvis_tz,tau_hip_flexion_r,tau_hip_adduction_r,tau_hip_rotation_r,tau_knee_angle_r,tau_ankle_angle_r,tau_subtalar_angle_r,tau_mtp_angle_r,tau_hip_flexion_l,tau_hip_adduction_l,tau_hip_rotation_l,tau_knee_angle_l,tau_ankle_angle_l,tau_subtalar_angle_l,tau_mtp_angle_l,tau_lumbar_extension,tau_lumbar_bending,tau_lumbar_rotation,tau_arm_flex_r,tau_arm_add_r,tau_arm_rot_r,tau_elbow_flex_r,tau_pro_sup_r,tau_wrist_flex_r,tau_wrist_dev_r,tau_arm_flex_l,tau_arm_add_l,tau_arm_rot_l,tau_elbow_flex_l,tau_pro_sup_l,tau_wrist_flex_l,tau_wrist_dev_l,acc_pelvis_tilt,acc_pelvis_list,acc_pelvis_rotation,acc_pelvis_tx,acc_pelvis_ty,acc_pelvis_tz,acc_hip_flexion_r,acc_hip_adduction_r,acc_hip_rotation_r,acc_knee_angle_r,acc_ankle_angle_r,acc_subtalar_angle_r,acc_mtp_angle_r,acc_hip_flexion_l,acc_hip_adduction_l,acc_hip_rotation_l,acc_knee_angle_l,acc_ankle_angle_l,acc_subtalar_angle_l,acc_mtp_angle_l,acc_lumbar_extension,acc_lumbar_bending,acc_lumbar_rotation,acc_arm_flex_r,acc_arm_add_r,acc_arm_rot_r,acc_elbow_flex_r,acc_pro_sup_r,acc_wrist_flex_r,acc_wrist_dev_r,acc_arm_flex_l,acc_arm_add_l,acc_arm_rot_l,acc_elbow_flex_l,acc_pro_sup_l,acc_wrist_flex_l,acc_wrist_dev_l,missing_grf_data,missing_grf_reason,calcn_r_probably_contacting_ground,calcn_l_probably_contacting_ground,calcn_r_contact_cop_x,calcn_r_contact_cop_y,calcn_r_contact_cop_z,calcn_r_contact_moment_x,calcn_r_contact_moment_y,calcn_r_contact_moment_z,calcn_r_contact_force_x,calcn_r_contact_force_y,calcn_r_contact_force_z,calcn_l_contact_cop_x,calcn_l_contact_cop_y,calcn_l_contact_cop_z,calcn_l_contact_moment_x,calcn_l_contact_moment_y,calcn_l_contact_moment_z,calcn_l_contact_force_x,calcn_l_contact_force_y,calcn_l_contact_force_z,marker_error_rms,marker_error_max,residual_norm
0.08,-0.155429,0.0464192,0.0289386,0.899731,1.02127,-0.334367,0.362882,-0.0764587,-0.161546,-2.03998,0.0919477,-0.1,-0.00207031,0.545536,0.0640149,-0.410041,-0.556088,0.352597,0.1,-0.00152637,-0.0765504,-0.127272,0.0414653,-0.745368,-0.418365,-0.388774,1.85993,1.58048,5.73056e-06,8.11363e-06,-0.510549,-0.444892,-0.0808584,1.8706,1.43249,9.36602e-06,5.24658e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02687,0,-0.322398,0.119377,-16.1176,-1.72607,-9.70827,1310.75,140.371,0.000435561,0.0745611,0
0.09,-0.173623,0.0473439,0.0385013,0.894244,1.01231,-0.334766,0.481646,-0.0889151,-0.157567,-2.1013,0.12446,-0.1,-0.00207031,0.557184,0.0649077,-0.38179,-0.63615,0.470677,0.1,-0.00152637,-0.068473,-0.129905,0.00191941,-0.73689,-0.423307,-0.424767,1.79002,1.56258,5.73056e-06,8.11363e-06,-0.46794,-0.455183,-0.078398,1.85589,1.43467,9.36602e-06,5.24658e-06,-1.81938,0.0924703,0.956274,-0.54864,-0.896678,-0.0399005,11.8764,-1.24564,0.397863,-6.13143,3.2512,0,0,1.16471,0.0892835,2.82516,-8.0062,11.808,0,0,0.807736,-0.263389,-3.95459,0.847745,-0.494259,-3.5993,-6.99021,-1.79053,0,0,4.26091,-1.02912,0.246042,-1.4705,0.218616,0,0,-181.419,163.12,26.337,3.21712,0.184112,2.64533,-49.8324,15.7338,-5.12653,-9.53976,-0.50124,0.360323,0.00316563,-175.532,-207.255,56.6691,99.8462,-120.976,-10.6147,-0.00719834,57.123,67.9032,11.3701,-7.95698,0.402026,1.05042,2.00047,-0.0442478,0.000250581,-0.000244568,-6.5959,6.96239,1.60252,3.5118,-0.0860148,0.000251353,-0.000374038,26.7152,-50.6508,-14.5223,10.8778,13.1642,2.34874,-97.7558,67.5388,-13.471,211.959,-20.9258,0,0,-125.127,-56.906,-48.0379,194.613,-193.877,0,0,4.32565,65.046,27.1971,-27.5766,14.1137,61.1897,91.4034,48.7225,0,0,-34.0968,59.4825,-1.07396,99.9278,0.702894,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.983989,0,-0.331544,-0.0786115,1.26704,0.0578605,-92.1042,1484.51,67.7916,0.000372672,0.0670375,245.422
0.1,-0.189146,0.0432036,0.0466118,0.889846,1.00466,-0.334931,0.590634,-0.0946176,-0.154935,-2.14141,0.154879,-0.1,-0.00207031,0.556318,0.0601099,-0.358342,-0.69675,0.569369,0.1,-0.00152637,-0.0599631,-0.126035,-0.0349068,-0.731171,-0.426838,-0.454641,1.72926,1.54954,5.73056e-06,8.11363e-06,-0.428741,-0.459526,-0.076045,1.85118,1.43693,9.36602e-06,5.24658e-06,-1.55223,-0.414038,0.811051,-0.439862,-0.765036,-0.0164131,10.8988,-0.570249,0.263152,-4.01184,3.04194,0,0,-0.0865521,-0.479777,2.34478,-6.06007,9.8692,0,0,0.850993,0.38707,-3.68262,0.57198,-0.353122,-2.9874,-6.07618,-1.3033,0,0,3.91994,-0.434292,0.235302,-0.471218,0.225645,0,0,-77.6723,61.1792,-5.07495,2.11176,1.05078,1.4882,-38.405,17.3747,-2.96641,-6.07375,-0.302564,0.235318,0.00559622,-99.3197,-122.976,47.7172,147.269,-152.77,14.7739,-0.0124408,66.3526,55.2209,12.2607,-8.56388,0.80939,1.17877,2.06566,-0.042517,0.000277498,-0.000237271,-7.98892,5.4011,1.44223,3.62913,-0.0900173,0.000251491,-0.000382344,27.6541,-49.8562,-15.4962,9.94965,16.4159,0.73741,-99.9954,67.1171,-12.8452,211.301,-21.2566,0,0,-125.877,-56.449,-49.9131,193.742,-197.841,0,0,3.4426,64.346,28.5907,-28.6282,14.1009,60.8058,92.3995,47.321,0,0,-34.1808,59.0217,-0.0865742,99.0559,2.50897,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.945618,0,-0.335958,-1.30617,14.4338,-0.0464217,-147.265,1627.35,-5.23383,0.00034564,0.0618192,99.0425
0.11,-0.201902,0.0340776,0.0531727,0.886442,0.998647,-0.335021,0.689623,-0.0936084,-0.153588,-2.1604,0.183173,-0.1,-0.00207031,0.542865,0.0496673,-0.339885,-0.737977,0.648277,0.1,-0.00152637,-0.0511089,-0.115729,-0.0688739,-0.728314,-0.42896,-0.478434,1.67774,1.54124,5.73056e-06,8.11363e-06,-0.392959,-0.457967,-0.0737006,1.85637,1.43944,9.36602e-06,5.24658e-06,-1.27569,-0.9126,0.656089,-0.340366,-0.600876,-0.00903901,9.89888,0.100922,0.1347,-1.89883,2.82937,0,0,-1.34532,-1.04427,1.84565,-4.12265,7.89079,0,0,0.885419,1.03053,-3.39671,0.285697,-0.212113,-2.37935,-5.15218,-0.830092,0,0,3.57814,0.155924,0.234436,0.519341,0.250734,0,0,-29.1667,3.82446,-17.7754,1.55036,0.537761,0.0562564,-26.2844,20.5638,-2.32778,-3.48496,-0.0820072,0.144196,0.00859691,-68.665,-73.3682,41.5086,170.27,-179.028,24.5111,-0.016542,68.2257,48.0395,14.7042,-8.71064,0.737007,1.20884,2.1315,-0.0424076,0.000291324,-0.000237063,-8.9339,4.09291,1.2951,3.70561,-0.0916522,0.000247696,-0.000384419,29.8351,-46.8151,-18.0211,10.0434,18.8988,-0.211843,-105.826,65.1921,-11.0096,208.79,-22.8131,0,0,-127.081,-54.1335,-55.2051,190.555,-208.91,0,0,1.10357,61.466,32.1824,-31.2031,14.0887,59.6984,94.7364,43.1477,0,0,-34.4352,57.1712,2.81182,96.095,7.22191,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.909555,0,-0.336007,-1.75574,21.2331,-0.586303,-142.946,1728.72,-47.7344,0.00033228,0.0575482,34.4091
0.12,-0.211676,0.02027,0.0579315,0.884043,0.994528,-0.335133,0.778029,-0.0860799,-0.153342,-2.15851,0.209185,-0.1,-0.00207031,0.516704,0.0338113,-0.326949,-0.760148,0.706294,0.1,-0.00152637,-0.0421443,-0.0992776,-0.0996228,-0.728577,-0.429672,-0.496258,1.63569,1.53726,5.73056e-06,8.11363e-06,-0.360622,-0.45069,-0.0710751,1.87117,1.44267,9.36602e-06,5.24658e-06,-0.977338,-1.38075,0.475878,-0.239931,-0.411889,-0.0111574,8.84062,0.752843,0.0246045,0.189069,2.60124,0,0,-2.61613,-1.5856,1.2936,-2.2171,5.80169,0,0,0.896454,1.64519,-3.07489,-0.0263339,-0.071226,-1.78236,-4.20482,-0.398614,0,0,3.23379,0.727637,0.262554,1.48029,0.322953,0,0,-13.2772,-16.3548,-14.49,1.17693,0.177023,-0.411576,-16.3573,22.5026,-2.38077,-1.72427,0.130061,0.0791953,0.0113235,-60.5686,-56.7451,37.7353,178.484,-200.182,23.0937,-0.0193128,65.2174,44.5496,18.0669,-8.6131,0.260186,1.14311,2.20619,-0.044309,0.000292347,-0.000243875,-9.57261,2.93887,1.15725,3.72467,-0.0906505,0.000239743,-0.000377447,32.371,-40.1863,-21.7773,10.7059,20.8309,-0.521271,-114.548,59.9662,-7.92445,203.263,-25.4194,0,0,-126.901,-48.128,-64.5586,183.203,-226.001,0,0,-2.36349,54.533,37.4073,-34.6622,14.1574,57.696,97.5689,35.9318,0,0,-34.9162,52.8719,7.89433,90.0309,14.3919,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.873193,0,-0.335047,-1.20625,21.6593,-0.691816,-100.587,1806.14,-57.6897,0.000322271,0.0534953,25.599
0.13,-0.218212,0.00244389,0.0605125,0.882714,0.992492,-0.335296,0.85498,-0.0725549,-0.153889,-2.13629,0.232656,-0.1,-0.00207031,0.477852,0.0131425,-0.320469,-0.763999,0.74171,0.1,-0.00152637,-0.0334162,-0.0773724,-0.126631,-0.732307,-0.428968,-0.508312,1.6034,1.53686,5.73056e-06,8.11363e-06,-0.331775,-0.438127,-0.0676601,1.89498,1.44734,9.36602e-06,5.24658e-06,-0.653628,-1.78261,0.258104,-0.132872,-0.20358,-0.0163701,7.69514,1.35251,-0.05464,2.2217,2.34705,0,0,-3.88514,-2.06688,0.648012,-0.38507,3.54168,0,0,0.872819,2.19052,-2.70081,-0.372956,0.0703484,-1.2054,-3.22913,-0.0392962,0,0,2.88462,1.25636,0.341498,2.3806,0.466872,0,0,-2.87286,-19.5139,-4.36205,0.835335,-0.468515,-0.621069,-10.702,21.7119,-2.72014,-0.22918,0.309827,0.0419651,0.0131103,-51.1351,-54.7409,32.0641,174.992,-215.97,16.4369,-0.0207804,60.8459,40.5599,21.2061,-8.27356,-0.285075,1.02744,2.2559,-0.0468708,0.000282305,-0.000252599,-9.9168,1.87105,1.01976,3.62485,-0.0860196,0.000225627,-0.000356557,33.7949,-29.2787,-25.667,11.3413,21.6485,-0.513512,-123.807,49.9988,-4.04652,194.184,-28.8944,0,0,-122.604,-36.8853,-76.2279,170.347,-245.053,0,0,-5.74599,42.364,42.7351,-37.6658,14.4054,54.5916,99.2397,26.9682,0,0,-35.6209,45.4396,14.7076,80.4537,22.4323,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.837613,0,-0.33483,-0.442815,17.4344,-0.492647,-46.4822,1830.09,-51.7131,0.00030976,0.049453,20.233
0.14,-0.221369,-0.0183101,0.0605269,0.882519,0.992621,-0.335511,0.919551,-0.0540299,-0.15484,-2.09466,0.253237,-0.1,-0.00207031,0.42674,-0.0112149,-0.321612,-0.750815,0.752622,0.1,-0.00152637,-0.0252626,-0.0512308,-0.149366,-0.739803,-0.426824,-0.514906,1.58103,1.53917,5.73056e-06,8.11363e-06,-0.306491,-0.421019,-0.0627744,1.92683,1.45425,9.36602e-06,5.24658e-06,-0.315679,-2.0754,0.00143407,-0.019459,0.0129051,-0.0215053,6.45707,1.85249,-0.0951052,4.16354,2.0581,0,0,-5.11119,-2.43573,-0.114267,1.3184,1.09115,0,0,0.81536,2.61416,-2.27346,-0.749614,0.214402,-0.659486,-2.23673,0.230386,0,0,2.52841,1.71075,0.488573,3.18514,0.691196,0,0,9.64641,-16.8437,4.68498,0.932317,-0.546964,-0.583912,-10.0162,17.7176,-3.17379,1.24634,0.437335,0.0335405,0.0135759,-34.011,-54.6101,23.646,159.134,-224.634,8.62558,-0.0206549,56.2865,34.7645,23.4399,-7.64174,-0.70708,0.889162,2.25307,-0.0488322,0.000262091,-0.000258338,-9.95449,0.863901,0.876025,3.38297,-0.0778274,0.000204649,-0.000320763,32.5854,-14.591,-28.3376,11.5468,20.968,-0.460108,-130.891,35.0131,-0.401093,181.888,-33.1334,0,0,-111.666,-20.3326,-86.8109,151.114,-259.605,0,0,-7.64686,25.419,46.4446,-38.976,14.8255,49.9254,98.1026,18.2999,0,0,-36.4005,34.9608,22.3206,67.6319,29.5324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.803241,0,-0.335118,0.0483846,11.2907,-0.290229,7.6325,1781.07,-45.7826,0.000292846,0.0454443,20.0056
0.15,-0.221267,-0.0405233,0.0577075,0.88348,0.994847,-0.335772,0.971033,-0.0320037,-0.155831,-2.03483,0.270504,-0.1,-0.00207031,0.364462,-0.0376055,-0.331436,-0.722519,0.737573,0.1,-0.00152637,-0.0178736,-0.0225472,-0.167456,-0.751196,-0.423198,-0.516509,1.56848,1.5433,5.73056e-06,8.11363e-06,-0.284847,-0.400416,-0.0556566,1.96545,1.46411,9.36602e-06,5.24658e-06,0.0101755,-2.22131,-0.281941,0.0960093,0.222585,-0.0261063,5.14816,2.20262,-0.0991161,5.98242,1.72677,0,0,-6.22785,-2.63906,-0.982376,2.82954,-1.5049,0,0,0.738891,2.86835,-1.80902,-1.13937,0.362657,-0.160232,-1.25571,0.413385,0,0,2.16441,2.06036,0.711779,3.86146,0.986519,0,0,20.5288,-6.96583,9.26204,0.849263,0.53706,-0.112934,-13.2155,11.0406,-3.69133,2.50184,0.50609,0.0472646,0.0127498,-14.7211,-55.7096,15.6742,132.005,-225.36,0.593568,-0.0181748,52.1176,28.8618,24.8647,-6.72803,-1.03877,0.720987,2.18901,-0.0496105,0.000231377,-0.000258734,-9.73035,-0.0536383,0.726548,3.02548,-0.0672654,0.000178081,-0.000273596,28.1,2.17941,-28.5551,11.1344,18.8957,-0.469186,-133.772,16.0367,1.64254,167.37,-38.3447,0,0,-92.5548,0.0523978,-91.6993,125.064,-262.321,0,0,-7.05321,5.78506,47.2003,-37.977,15.2739,43.0488,93.226,11.586,0,0,-36.8659,22.329,29.6233,52.331,34.228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.770284,0,-0.334631,0.208873,5.78384,-0.159198,60.2034,1667.07,-45.8855,0.000273938,0.0415265,23.5958
0.16,-0.218355,-0.0625184,0.0520325,0.885553,0.998962,-0.33608,1.00914,-0.00837378,-0.156658,-1.95827,0.283938,-0.1,-0.00207031,0.292928,-0.0639908,-0.350429,-0.681718,0.696292,0.1,-0.00152637,-0.0111901,0.00671477,-0.180826,-0.766388,-0.418044,-0.513806,1.56524,1.54859,5.73056e-06,8.11363e-06,-0.26689,-0.377579,-0.0455765,2.00929,1.4774,9.36602e-06,5.24658e-06,0.291176,-2.19952,-0.567492,0.207354,0.411543,-0.0307982,3.81044,2.36299,-0.0826907,7.65612,1.34332,0,0,-7.1534,-2.63854,-1.89937,4.08018,-4.12811,0,0,0.668359,2.9262,-1.33702,-1.51914,0.515397,0.270257,-0.323447,0.529245,0,0,1.79575,2.28365,1.00801,4.38477,1.3288,0,0,22.1375,11.8042,9.11487,0.382203,0.912299,0.348817,-18.9186,3.371,-4.32325,3.27525,0.520279,0.0720917,0.0109078,-0.645451,-58.5262,10.8229,96.6822,-215.944,-7.02437,-0.0124649,46.7064,25.001,26.0274,-5.49522,-1.38551,0.51376,2.06806,-0.0490152,0.000190773,-0.000252814,-9.25604,-0.823029,0.575296,2.57836,-0.0553664,0.000147281,-0.000218151,20.6162,18.7516,-25.4794,10.0651,15.5706,-0.583665,-131.582,-4.98752,0.825583,151.826,-44.721,0,0,-65.2349,21.544,-86.772,92.0216,-246.607,0,0,-3.87295,-13.6314,44.339,-34.6759,15.5948,33.4908,84.6466,7.39891,0,0,-36.3921,8.8967,35.5193,35.5615,35.5665,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.738091,0,-0.333066,0.180391,2.42122,-0.0830985,111.344,1494.47,-51.2915,0.000256162,0.0376414,26.7131
0.17,-0.213382,-0.0826385,0.0438097,0.888633,1.00463,-0.336447,1.03408,0.0147574,-0.157402,-1.86653,0.292899,-0.1,-0.00207031,0.21487,-0.0882218,-0.3781,-0.631714,0.63035,0.1,-0.00152637,-0.00489376,0.0346137,-0.189762,-0.785047,-0.41133,-0.507755,1.57047,1.55463,5.73056e-06,8.11363e-06,-0.252571,-0.353853,-0.0319444,2.0567,1.49425,9.36602e-06,5.24658e-06,0.497337,-2.012,-0.822286,0.308004,0.567249,-0.0366349,2.49463,2.31312,-0.0744349,9.17439,0.896111,0,0,-7.80574,-2.4231,-2.76709,5.00039,-6.59419,0,0,0.629629,2.78989,-0.893625,-1.8659,0.671345,0.605165,0.523019,0.603234,0,0,1.43183,2.37262,1.36321,4.74038,1.68447,0,0,9.98355,34.8549,6.17205,0.0218666,0.909658,0.379026,-26.1164,-2.9845,-5.12169,3.33662,0.494918,0.0939984,0.00855341,4.72362,-59.541,9.43363,58.4215,-192.456,-12.8882,-0.00291921,37.8566,23.6562,27.3723,-3.91402,-1.79576,0.271804,1.90138,-0.0470726,0.000142501,-0.000240498,-8.52407,-1.41202,0.421253,2.05285,-0.042598,0.000112835,-0.000156176,11.308,33.0738,-18.9262,8.39308,11.1177,-0.844763,-124.53,-25.735,-3.40913,136.133,-51.557,0,0,-31.2925,40.9778,-69.8868,52.1737,-208.109,0,0,1.00334,-30.2687,38.0328,-29.3625,15.7835,21.4048,73.1562,5.25138,0,0,-34.3055,-4.02036,39.0027,18.3796,33.2088,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.704614,0,-0.331054,0.176667,1.42338,-0.0657613,156.586,1261.59,-58.2865,0.000241551,0.0348185,36.7913
0.18,-0.207278,-0.0994511,0.0336942,0.892552,1.01142,-0.336898,1.04658,0.035315,-0.158487,-1.76117,0.296704,-0.1,-0.00207031,0.133684,-0.108355,-0.41276,-0.576492,0.543597,0.1,-0.00152637,0.00150287,0.0594857,-0.194895,-0.806642,-0.403039,-0.499562,1.58302,1.56118,5.73056e-06,8.11363e-06,-0.241684,-0.330529,-0.0144121,2.10594,1.51441,9.36602e-06,5.24658e-06,0.610417,-1.68126,-1.01155,0.391935,0.678426,-0.0450825,1.24932,2.05577,-0.108526,10.5357,0.380541,0,0,-8.11867,-2.01332,-3.46596,5.52213,-8.67528,0,0,0.639663,2.4872,-0.513297,-2.15953,0.82918,0.819213,1.25458,0.655748,0,0,1.08877,2.33241,1.75323,4.92418,2.01655,0,0,-11.6478,54.9611,3.63542,-0.18101,0.248908,0.617621,-34.6228,-5.93187,-5.98161,2.34007,0.447994,0.0967441,0.0062212,5.76572,-54.3086,9.912,25.481,-152.563,-15.3848,0.0100265,24.7614,23.9727,28.9394,-2.05483,-2.2351,0.0136288,1.69563,-0.0438808,9.01347e-05,-0.000221517,-7.56994,-1.8251,0.261061,1.46063,-0.0292558,7.54489e-05,-8.91731e-05,1.78541,43.881,-9.6057,6.15754,5.78363,-1.26476,-113.588,-43.6026,-10.3469,120.499,-57.8581,0,0,6.15529,55.7345,-41.2672,6.69043,-146.685,0,0,5.96556,-42.6071,29.3351,-22.2804,15.9816,7.82692,59.8416,3.80901,0,0,-30.2185,-15.4611,39.2237,1.73859,27.1121,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.666228,0,-0.329019,0.37861,2.01045,-0.127327,183.376,973.742,-61.6694,0.000232903,0.0373442,56.3036
0.19,-0.200995,-0.111876,0.0226182,0.897088,1.01878,-0.337475,1.04771,0.0515124,-0.160607,-1.64377,0.294724,-0.1,-0.00207031,0.0531125,-0.122915,-0.451546,-0.520602,0.442176,0.1,-0.00152637,0.00849605,0.080097,-0.197095,-0.830466,-0.393149,-0.490588,1.60155,1.56812,5.73056e-06,8.11363e-06,-0.233818,-0.308751,0.00704261,2.15536,1.53729,9.36602e-06,5.24658e-06,0.628271,-1.24245,-1.1076,0.453511,0.736262,-0.0577301,0.113442,1.61974,-0.211996,11.7407,-0.19804,0,0,-8.05712,-1.45597,-3.87863,5.58904,-10.1421,0,0,0.699318,2.06113,-0.219946,-2.38233,0.988995,0.897482,1.853,0.693838,0,0,0.78659,2.1778,2.14547,4.94156,2.28767,0,0,-35.7316,63.405,4.11131,0.855541,-0.88672,1.12297,-43.9888,-4.64791,-6.52027,-0.226612,0.407997,0.0596225,0.00456467,7.71194,-39.6562,10.0459,2.56073,-103.091,-13.4077,0.0245105,8.46777,23.906,30.2453,-0.145158,-2.62373,-0.238303,1.46486,-0.0398977,3.79427e-05,-0.000196819,-6.48221,-2.13475,0.0868333,0.84181,-0.0161664,3.63362e-05,-2.09958e-05,-6.22896,50.5543,0.895855,3.50686,0.20783,-1.82488,-100.233,-56.0265,-18.2278,104.356,-62.0994,0,0,42.8354,64.1419,-4.01478,-41.8271,-67.392,0,0,9.14679,-50.1792,19.9357,-13.5213,16.259,-5.46359,45.6676,1.63581,0,0,-24.3507,-24.8214,35.5458,-13.6286,17.766,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.619725,0,-0.327174,0.814256,2.98227,-0.263525,180.756,662.033,-58.4999,0.000232391,0.0424917,72.9151
0.2,-0.195335,-0.119245,0.0116317,0.901973,1.02616,-0.338235,1.03882,0.0621072,-0.16455,-1.51592,0.286533,-0.1,-0.00207031,-0.0231751,-0.13106,-0.490734,-0.468894,0.334015,0.1,-0.00152637,0.0164039,0.0956903,-0.1973,-0.855641,-0.381633,-0.482159,1.62464,1.57522,5.73056e-06,8.11363e-06,-0.228387,-0.289455,0.0320519,2.20341,1.56194,9.36602e-06,5.24658e-06,0.565982,-0.736912,-1.09865,0.488579,0.73834,-0.0759789,-0.888884,1.05948,-0.394274,12.7843,-0.819033,0,0,-7.62876,-0.814555,-3.91878,5.17077,-10.8161,0,0,0.790786,1.55934,-0.0205893,-2.51755,1.15159,0.842846,2.30967,0.710196,0,0,0.543083,1.92959,2.50093,4.80528,2.46533,0,0,-50.246,56.1581,7.52329,0.494416,0.403693,0.0946128,-53.2539,0.217542,-6.23948,-4.86663,0.407526,-0.0355826,0.00421286,17.617,-17.247,8.18999,-9.8181,-59.5705,-8.66855,0.0378587,-7.18455,21.8941,30.6205,1.44045,-2.89585,-0.465282,1.22638,-0.0357504,-9.79527e-06,-0.000168504,-5.45907,-2.41825,-0.100188,0.277044,-0.0050152,-1.94019e-06,4.13622e-05,-11.2492,52.8491,10.5403,0.60932,-4.55039,-2.45087,-86.1259,-60.8542,-24.8488,86.5205,-62.8734,0,0,74.3071,65.4419,36.2065,-89.6452,20.5072,0,0,9.02504,-53.0491,11.6178,-3.11758,16.3533,-16.3858,31.2753,-2.2262,0,0,-17.6414,-31.69,27.6659,-27.2763,6.00487,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.570544,0,-0.32543,1.2534,3.36543,-0.43201,143.008,383.983,-49.2907,0.000236455,0.0465287,75.7325
0.21,-0.1908,-0.121329,0.00169927,0.90692,1.03309,-0.33924,1.02132,0.0666165,-0.170978,-1.37943,0.272056,-0.1,-0.00207031,-0.092032,-0.132662,-0.526301,-0.426151,0.227905,0.1,-0.00152637,0.0252143,0.105979,-0.196345,-0.881128,-0.368482,-0.475369,1.65087,1.5821,5.73056e-06,8.11363e-06,-0.22472,-0.273328,0.0598278,2.24873,1.5872,9.36602e-06,5.24658e-06,0.45349,-0.208421,-0.993243,0.494672,0.692836,-0.100488,-1.75014,0.450933,-0.642762,13.6495,-1.44777,0,0,-6.88569,-0.160136,-3.55671,4.27431,-10.611,0,0,0.881037,1.02885,0.0955886,-2.54872,1.31512,0.678988,2.62243,0.687934,0,0,0.366669,1.61269,2.77759,4.53251,2.52538,0,0,-51.6003,38.102,12.0994,-0.199456,3.28408,-0.0150237,-61.0253,6.64949,-4.81167,-11.3669,0.46805,-0.1916,0.00542781,36.5927,5.83574,4.79813,-13.3434,-31.0888,-4.63193,0.0473315,-20.5126,18.5466,29.6691,2.54748,-3.07786,-0.651842,1.00747,-0.0322388,-4.92139e-05,-0.000140208,-4.57396,-2.67169,-0.287103,-0.169192,0.00303842,-3.70907e-05,9.27777e-05,-12.3828,50.6993,17.4836,-2.05787,-7.69548,-2.90298,-72.7596,-56.9784,-28.3704,65.5183,-59.2579,0,0,96.9773,59.9619,73.1972,-132.152,103.924,0,0,4.84348,-51.3859,5.65213,8.78478,15.5942,-23.1189,17.0289,-8.04789,0,0,-11.5442,-35.7431,15.7521,-39.0351,-6.91049,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.537184,0,-0.322587,1.32892,2.8741,-0.550829,86.1138,186.242,-35.6938,0.000238663,0.0471274,65.3573
